"Reference"; "Quantity"; "Value"; "Footprint"; "Datasheet"; "Characteristics"; "Package ID"; "Manufacturer Name"; "Manufacturer Part Number"; "Supplier"; "Supplier Order number"; "Description"; "Alt Manufacturer Partnumber"; "Alt Manufacturer Name"
"AE1";"1";"Antenna_Shield_3pin";"SensorsUnleashed:Antenna_Ext_3pin_smd";"http://www.taoglas.com/wp-content/uploads/2016/04/RECE.20279.001E.01.pdf";"50R, Range DC to 6 GHz";;"Taoglas Limited";"RECE.20279.001E.01";"Digikey";"931-1107-1-ND";"Ultra Miniature Coaxial, IPEX MHF1 Connector Receptacle, Male Pin 50 Ohm Surface Mount Solder";;
"C1";"1";"1nF";"Capacitors_SMD:C_0402_NoSilk";"http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx";"CERAMIC X7R, 50V, -10%/+10%, -55DEGC/+125DEGC";"0402";"Murata Electronics North America";"GRM155R71H102KA01D";"Digikey";"490-1303-1-ND";;;
"C10, C11";"2";"2.2uF";"Capacitors_SMD:C_0402_NoSilk";"http://psearch.en.murata.com/capacitor/product/GRM155R60J225ME15%23.pdf";"Ceramic capacitor 0402 X5R 6.3V";"0402";"Murata Electronics North America";"GRM155R60J225ME15D";"Digikey";"490-4519-1-ND";;;
"C12, C13, C14, C16, C17, C18, C19";"7";"100nF";"Capacitors_SMD:C_0402_NoSilk";"http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx";"CERAMIC X7R, 6.3V, -10%/+10%, -55DEGC/+125DEGC";"0402";"Murata Electronics North America";"GRM155R70J104KA01D";"Digikey";"490-6319-1-ND";;;
"C15, C2, C4, C7";"4";"1uF";"Capacitors_SMD:C_0402_NoSilk";"http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx";"CERAMIC X7R, 6.3V, -10%/+10%, -55DEGC/+125DEGC";"0402";"Murata Electronics North America";"GRM155R61A105KE01D";"Digikey";"490-12701-1-ND";;;
"C20";"1";"220pF";"Capacitors_SMD:C_0402_NoSilk";"http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx";"CERAMIC C0G/NP0, 50V, -5%/+5%, -55DEGC/+125DEGC";"0402";"Murata Electronics North America";"GRM1555C1H221JA01D";"Digikey";"490-1293-1-ND";;;
"C3";"1";"15nF";"Capacitors_SMD:C_0402_NoSilk";"http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx";"CERM, 50V, +-10%, X7R";"0402";"Murata Electronics North America";"GRM155R71H153KA12J";"Digikey";"490-6355-1-ND";;;
"C5, C6";"2";"12pF";"Capacitors_SMD:C_0402_NoSilk";"http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx";"CERAMIC C0G/NP0, 50V, -5%/+5%, -55DEGC/+125DEGC";"0402";"Murata Electronics North America";"GRM1555C1H120JA01D";"Digikey";"490-5924-1-ND";;;
"C8, C9";"2";"22pF";"Capacitors_SMD:C_0402_NoSilk";"http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx";"CERAMIC C0G/NP0, 50V, -5%/+5%, -55DEGC/+125DEGC";"0402";"Murata Electronics North America";"GRM1555C1H220JA01J";"Digikey";"490-11382-1-ND";;;
"J1";"1";"XBEE_with_jtag";"SensorsUnleashed:XBEE-HEADER_with_JTAG";"";"Custom - made from pinheaders 1.27mm pitch";;"Harwin Inc.";"M50-3600542+";"Digikey";"952-1389-ND +";"Xbee header combined with a 10pin jtag header";;
